country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","08-11-2025 15:00:00",16.554731,80.649110,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","08-11-2025 15:00:00",16.554731,80.649110,SO2,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-11-2025 15:00:00",17.72,83.3,PM10,99,431,193
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","08-11-2025 15:00:00",26.146529,87.454184,SO2,17,21,19
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","08-11-2025 15:00:00",25.5626095,84.663264,PM2.5,33,58,44
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","08-11-2025 15:00:00",25.5626095,84.663264,PM10,32,50,40
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","08-11-2025 15:00:00",25.5626095,84.663264,CO,38,74,56
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","08-11-2025 15:00:00",24.75746,84.366208,NH3,1,2,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","08-11-2025 15:00:00",24.75746,84.366208,CO,100,103,102
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","08-11-2025 15:00:00",25.42742023,86.13886079,SO2,36,49,42
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","08-11-2025 15:00:00",25.560083,87.553265,PM10,40,84,54
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","08-11-2025 15:00:00",27.308328,84.531742,PM2.5,32,267,97
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","08-11-2025 15:00:00",27.308328,84.531742,PM10,38,203,109
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","08-11-2025 15:00:00",27.308328,84.531742,CO,31,34,34
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","08-11-2025 15:00:00",26.63086,84.90051,PM2.5,20,177,44
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","08-11-2025 15:00:00",26.63086,84.90051,PM10,68,197,94
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","08-11-2025 15:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","08-11-2025 15:00:00",26.63086,84.90051,SO2,2,3,3
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","08-11-2025 15:00:00",25.251013,86.989001,NO2,6,10,8
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","08-11-2025 15:00:00",25.251013,86.989001,CO,7,20,19
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","08-11-2025 15:00:00",25.265194,87.012947,NH3,5,11,7
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","08-11-2025 15:00:00",25.204762,85.514960,PM2.5,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","08-11-2025 15:00:00",25.567520,83.966379,PM2.5,53,82,74
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","08-11-2025 15:00:00",25.7808257,84.7446768,SO2,19,21,20
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","08-11-2025 15:00:00",25.7808257,84.7446768,OZONE,17,35,22
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-11-2025 15:00:00",24.7955,84.9994,PM2.5,58,252,141
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-11-2025 15:00:00",24.7955,84.9994,SO2,10,17,11
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","08-11-2025 15:00:00",24.7955,84.9994,CO,44,81,44
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","08-11-2025 15:00:00",24.792403,84.992416,PM2.5,43,317,120
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-11-2025 15:00:00",24.762518,84.982348,OZONE,12,36,24
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-11-2025 15:00:00",26.071318,91.87488,OZONE,20,37,27
India,Assam,Guwahati,"IITG, Guwahati - PCBA","08-11-2025 15:00:00",26.2028636,91.70046436,PM2.5,17,234,60
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","08-11-2025 15:00:00",26.10887,91.589544,PM10,38,89,67
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","08-11-2025 15:00:00",26.187500,91.744194,SO2,43,81,60
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","08-11-2025 15:00:00",26.181742,91.78063,PM10,24,118,68
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","08-11-2025 15:00:00",14.465052,78.824187,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-11-2025 15:00:00",16.9872867,81.7363176,CO,26,30,28
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","08-11-2025 15:00:00",13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","08-11-2025 15:00:00",13.615387,79.409230,NH3,2,7,4
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","08-11-2025 15:00:00",26.349082,92.68449,PM10,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","08-11-2025 15:00:00",26.349082,92.68449,SO2,10,14,12
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","08-11-2025 15:00:00",26.349082,92.68449,OZONE,9,9,9
India,Assam,Silchar,"Tarapur, Silchar - PCBA","08-11-2025 15:00:00",24.82827,92.79525,PM2.5,36,50,41
India,Assam,Silchar,"Tarapur, Silchar - PCBA","08-11-2025 15:00:00",24.82827,92.79525,NO2,14,18,18
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","08-11-2025 15:00:00",11.654054,92.734055,PM2.5,NA,NA,NA
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","08-11-2025 15:00:00",11.654054,92.734055,SO2,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","08-11-2025 15:00:00",13.204880,79.097889,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","08-11-2025 15:00:00",13.204880,79.097889,PM10,NA,NA,NA
